Date,Open,High,Low,Close,Volume
2026-02-05,73016.375,73161.5546875,62353.53515625,62702.09765625,125509410908
2026-02-06,62704.453125,71681.3046875,60074.203125,70555.390625,114674259489
2026-02-07,70553.796875,71611.1484375,67364.4453125,69281.96875,62347107663
2026-02-08,69283.7265625,72206.90625,68852.8984375,70264.7265625,39721722619
2026-02-09,70243.328125,71369.96875,68291.03125,70120.78125,52081598792
2026-02-10,70137.390625,70464.265625,67913.09375,68793.9609375,40593063077
2026-02-11,68791.859375,69242.6796875,65757.3046875,66991.96875,49671946030
2026-02-12,66992.1953125,68339.4921875,65092.109375,66221.84375,44651071271
2026-02-13,66213.375,69382.8359375,65835.78125,68857.84375,40820775886
2026-02-14,68856.984375,70481.1640625,68706.6171875,69767.625,36012397645
2026-02-15,69764.953125,70939.2890625,68052.546875,68788.1875,40191152750
2026-02-16,68782.3984375,70067.234375,67301.5859375,68843.15625,33618145426
2026-02-17,68843.09375,69201.8671875,66615.28125,67494.21875,34866936040
2026-02-18,67488.0234375,68434.4296875,65845.8984375,66425.3203125,33094301643
2026-02-19,66425.625,67277.125,65637.4296875,66957.5234375,31492987019
2026-02-20,66958.578125,68269.03125,66452.484375,68005.421875,47507867304
2026-02-21,68000.25,68657.703125,67533.0703125,68003.765625,18357635642
2026-02-22,67998.828125,68235.2265625,67185.6015625,67659.390625,17893536012
2026-02-23,67668.4296875,67668.4296875,63924.4375,64616.73828125,50953457309
2026-02-24,64616.015625,64992.15625,62553.1875,64080.04296875,40849331086
2026-02-25,64077.76953125,69953.53125,63942.484375,67960.125,53629234355
2026-02-26,67954.8671875,68843.3515625,66523.734375,67453.7734375,42988597523
2026-02-27,67456.515625,68220.40625,64946.03515625,65881.796875,40283655942
2026-02-28,65878.9296875,67714.5234375,63062.21875,66995.859375,42041497112
2026-03-01,67005.8828125,68162.8203125,65076.73046875,65738.1015625,40733141929
2026-03-02,65734.078125,70044.0,65303.13671875,68775.8515625,56698092052
2026-03-03,68785.078125,69232.890625,66237.6171875,68293.6484375,47947999049
2026-03-04,68290.5625,74051.8046875,67437.40625,72710.578125,75073101274
2026-03-05,72712.65625,73555.7890625,70654.8828125,70841.125,51172841727
2026-03-06,70842.15625,71378.5703125,67757.8203125,68136.4921875,43776962871
2026-03-07,68136.6875,68515.1640625,66969.2578125,67272.59375,23258701211
2026-03-08,67272.5,68177.7890625,65639.1953125,65969.78125,33195080116
2026-03-09,65969.5859375,69474.9453125,65858.0078125,68402.3828125,49499875378
2026-03-10,68402.71875,71770.8984375,68402.71875,69926.921875,54003996096
2026-03-11,69931.25,71337.6640625,68998.8671875,70204.8828125,45236859848
2026-03-12,70209.765625,70775.828125,69230.15625,70493.4609375,40871848129
2026-03-13,70497.046875,73927.328125,70410.7265625,70968.265625,61167226505
2026-03-14,70965.3828125,71291.203125,70339.5859375,71214.625,22283546496
2026-03-15,71213.6796875,73173.0078125,70882.421875,72789.9140625,27991268669
2026-03-16,72798.171875,74901.859375,72300.6328125,74861.0859375,55572438409
2026-03-17,74855.296875,75988.3984375,73444.2265625,73922.4765625,49500721728
2026-03-18,73936.8515625,74658.9765625,70503.859375,71245.578125,46229011155
