Date,Open,High,Low,Close,Volume
2026-03-30,65958.3515625,68087.2890625,65759.8046875,66691.4453125,37694994180
2026-03-31,66694.5859375,68495.2734375,65950.4375,68233.3125,42997691338
2026-04-01,68232.890625,69230.359375,67555.359375,68078.5546875,36465393617
2026-04-02,68077.8984375,68633.1484375,65725.2578125,66888.5703125,39323384518
2026-04-03,66889.015625,67296.234375,66281.5390625,66931.1015625,22815543346
2026-04-04,66938.6484375,67515.015625,66769.640625,67290.515625,15878814963
2026-04-05,67291.1953125,69087.65625,66610.6328125,68981.8984375,22972648674
2026-04-06,68982.9140625,70305.421875,68347.078125,68859.828125,39542143229
2026-04-07,68859.375,72732.4296875,67740.5078125,71940.703125,44650511480
2026-04-08,71950.1484375,72825.1875,70707.46875,71123.359375,42444631703
2026-04-09,71120.5703125,73107.265625,70486.359375,71767.828125,38799581473
2026-04-10,71774.3671875,73440.1171875,71434.828125,72979.046875,37722595732
2026-04-11,72976.125,73784.234375,72556.3359375,73054.2734375,23287073965
2026-04-12,73056.046875,73154.03125,70540.5703125,70753.40625,29882740487
2026-04-13,70757.6171875,74896.3125,70588.5234375,74484.640625,52278211554
2026-04-14,74478.3984375,76061.7578125,73877.203125,74181.609375,53540826530
2026-04-15,74182.0234375,75409.2734375,73549.203125,74805.078125,38090174312
2026-04-16,74810.875,75506.5703125,73346.265625,75152.1328125,41312783855
2026-04-17,75164.0390625,78320.6796875,74558.6015625,77126.875,54137194839
2026-04-18,77136.046875,77416.703125,75504.9453125,75726.2109375,26014416776
2026-04-19,75723.6953125,76243.09375,73802.3828125,73856.3515625,30931515195
2026-04-20,73854.25,76575.359375,73775.5703125,75872.5234375,39674447916
2026-04-21,75872.828125,76881.4765625,74852.671875,76352.7734375,36453522626
2026-04-22,76354.21875,79468.0,76159.578125,78203.1015625,48336654537
2026-04-23,78203.875,78676.9375,77014.453125,78268.953125,40354900916
2026-04-24,78263.8203125,78554.09375,77318.4453125,77455.3125,32784213526
2026-04-25,77457.2109375,77882.640625,77184.6640625,77612.015625,16702933134
2026-04-26,77613.1171875,78923.5625,77334.890625,78657.5390625,21482934750
2026-04-27,78661.015625,79488.171875,76481.34375,77366.625,38135631927
2026-04-28,77368.1171875,77483.8671875,75673.6015625,76350.671875,32056900880
2026-04-30,75752.125,76357.734375,75695.5625,75714.6484375,40699039744
